Geographic code,Provincial Geographic Code,Population 2016,Population 2011,Population percent change,Total private dwellings 2016,Population density per square kilometre 2016,National population rank
5929,59,29970,28619,4.7,17379,7.9,182
5931,59,42665,38173,11.8,23965,2.6,139
5933,59,132663,128471,3.3,62157,3,48
5935,59,194882,179839,8.4,88374,67.1,30
5937,59,84354,81237,3.8,39970,11.2,75
5939,59,51366,50512,1.7,29798,1.8,117
5941,59,61988,62392,-0.6,31680,0.8,101
5943,59,11035,11506,-4.1,5963,0.5,267
5945,59,3319,3206,3.5,1531,0.1,288
5947,59,18133,18784,-3.5,8911,0.9,233
5949,59,37367,37361,0,16922,0.4,154
5951,59,37896,39208,-3.3,17564,0.5,153
5953,59,94506,91879,2.9,41666,1.9,67
5955,59,62942,60082,4.8,28746,0.5,100
5957,59,740,629,17.6,617,0,293
5959,59,5393,5578,-3.3,2593,0.1,287
6001,60,35874,33897,5.8,17987,0.1,161
6101,61,6372,6712,-5.1,2741,0,286
6102,61,2433,2341,3.9,1111,0,292
6103,61,2751,2812,-2.2,861,0.1,290
6104,61,3160,3256,-2.9,1495,0,289
6105,61,6980,6616,5.5,3199,0,284
6106,61,20090,19725,1.9,8259,0.1,222
6204,62,18988,16939,12.1,6556,0,227
6205,62,10413,8955,16.3,3007,0,271
6208,62,6543,6012,8.8,1870,0,285
